Date,Close,High,Low,Open,Volume,Date_num,H-L,O-C,SMA_7,SMA_17,SMA_30,SD_7,SD_30
2024-09-05,56160.48828125,58300.58203125,55712.453125,57971.703125,31030280656,739134,2588.12890625,1811.21484375,58012.91350446428,60003.987132352944,59665.424479166664,1124.9955564366983,2201.8225915469693
2024-09-06,53948.75390625,56976.109375,52598.69921875,56160.19140625,49361693566,739135,4377.41015625,2211.4375,57274.23883928572,59706.10248161765,59629.467578125,1782.6534353562963,2287.322547691788
2024-09-07,54139.6875,54838.14453125,53740.0703125,53949.0859375,19061486526,739136,1098.07421875,-190.6015625,56584.208705357145,59292.24931066176,59377.11927083333,1944.405613935416,2460.8773306999747
2024-09-08,54841.56640625,55300.859375,53653.7578125,54147.93359375,18268287531,739137,1647.1015625,-693.6328125,56229.36272321428,58966.346507352944,59175.834375,2012.054349196473,2577.8792431737797
2024-09-09,57019.53515625,58041.125,54598.43359375,54851.88671875,34618096173,739138,3442.69140625,-2167.6484375,55930.37053571428,58550.18060661765,59044.95846354167,1631.7887152205726,2584.5784623349296
2024-09-10,57648.7109375,58029.9765625,56419.4140625,57020.09765625,28857630507,739139,1610.5625,-628.61328125,55961.46875,58166.046415441175,59009.266015625,1666.8518919896119,2596.5938182849904
2024-09-11,57343.171875,57991.3203125,55567.33984375,57650.2890625,37049062672,739140,2423.98046875,307.1171875,55871.70200892857,57754.848115808825,58942.22122395833,1553.6347580646157,2613.285067836118
2024-09-12,58127.01171875,58534.359375,57330.1015625,57343.171875,33835707949,739141,1204.2578125,-783.83984375,56152.63392857143,57475.22173713235,58859.469401041664,1776.3844807460614,2597.9275372952457
2024-09-13,60571.30078125,60648.0234375,57650.11328125,58130.32421875,32490528356,739142,2997.91015625,-2440.9765625,57098.71205357143,57537.99632352941,58920.603776041666,2134.4528499735093,2616.465823059807
2024-09-14,60005.12109375,60656.72265625,59517.8828125,60569.1171875,16428405496,739143,1138.83984375,563.99609375,57936.631138392855,57595.49609375,59002.10455729167,1919.7205640316868,2610.6997231159216
2024-09-15,59182.8359375,60381.91796875,58696.30859375,60000.7265625,18120960867,739144,1685.609375,817.890625,58556.8125,57583.41704963235,59011.72890625,1377.993016429163,2610.8200552761264
